"AnimalID","t_0","site_0","Mass_std","Sex","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"148Y",2004,"SOUTH SEAL ROCK",0.133382915667603,"M",12,12,12,1,2,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"149R",2001,"PYRAMID ROCK",0.728796852724124,"M",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"149Y",2004,"SOUTH SEAL ROCK",0.222061587144106,"M",12,12,12,1,2,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"14R",2001,"PYRAMID ROCK",0.90615419567713,"M",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"14Y",2002,"SOUTH SEAL ROCK",1.12151668354864,"M",12,1,12,12,4,12,12,7,8,9,10,11,11,11,11,12,11,12,12
"150R",2001,"PYRAMID ROCK",1.29887402650164,"M",1,12,12,4,5,6,7,8,12,10,11,12,12,12,12,12,12,12,12
"150Y",2004,"SOUTH SEAL ROCK",0.589444654689619,"M",12,12,12,1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"151R",2001,"PYRAMID ROCK",-0.588714837783923,"F",12,12,12,12,12,12,7,12,12,12,12,12,12,12,12,12,12,12,12
"151Y",2004,"SOUTH SEAL ROCK",0.374082166818111,"M",12,12,12,1,2,3,12,5,6,7,8,9,10,12,12,12,12,12,12
"152R",2001,"PYRAMID ROCK",0.133382915667603,"F",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"152Y",2004,"SOUTH SEAL ROCK",-0.956097905329435,"F",12,12,12,1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"153R",2001,"PYRAMID ROCK",-0.474699403028419,"F",12,2,12,4,5,6,7,8,9,10,11,11,11,12,12,12,12,12,12
"153Y",2004,"SOUTH SEAL ROCK",1.41288946125715,"M",12,12,12,1,2,12,12,12,12,12,12,12,12,11,12,12,12,12,12
"154R",2001,"PYRAMID ROCK",0.0193674809120989,"F",12,12,3,4,5,6,7,8,9,10,12,11,11,12,12,12,12,12,12
"154Y",2004,"SOUTH SEAL ROCK",0.766801997642625,"M",12,12,12,1,2,3,12,12,12,12,12,12,12,12,12,12,12,12,12
"155R",2001,"PYRAMID ROCK",0.0193674809120989,"M",12,12,12,12,5,12,7,12,12,12,12,12,12,12,12,12,12,12,12
"155Y",2004,"SOUTH SEAL ROCK",-0.0566428089249039,"M",12,12,12,1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"156R",2001,"PYRAMID ROCK",0.0193674809120989,"M",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"156Y",2004,"SOUTH SEAL ROCK",-0.614051601062923,"F",12,12,12,1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"157R",2001,"PYRAMID ROCK",0.0573726258306004,"M",1,12,12,4,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"157Y",2004,"SOUTH SEAL ROCK",0.665454944526621,"M",12,12,12,12,2,12,12,5,12,7,8,9,12,11,11,12,12,12,12
"158R",2001,"PYRAMID ROCK",1.14685344682764,"M",12,2,3,12,12,12,7,12,12,12,12,12,12,12,12,12,12,12,12
"158Y",2004,"SOUTH SEAL ROCK",0.944159340595631,"M",12,12,12,1,2,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"159R",2001,"PYRAMID ROCK",-0.816745707294931,"F",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"159Y",2004,"SOUTH SEAL ROCK",-0.677393509260426,"F",12,12,12,12,2,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"15R",2001,"PYRAMID ROCK",0.0827093891096012,"M",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"15Y",2002,"SOUTH SEAL ROCK",0.00669909927259831,"F",12,1,2,3,4,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"1606R",2007,"PYRAMID ROCK",0.716128471084623,"M",12,12,12,12,12,12,1,12,12,12,12,12,12,12,12,12,12,12,12
"160R",2001,"PYRAMID ROCK",-0.474699403028419,"F",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"160Y",2004,"SOUTH SEAL ROCK",-0.614051601062923,"F",12,12,12,12,12,3,12,12,6,7,8,9,12,12,12,12,12,12,12
"161R",2001,"PYRAMID ROCK",-0.348015586633414,"F",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"161Y",2004,"SOUTH SEAL ROCK",-0.107316335482906,"M",12,12,12,1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"162R",2001,"PYRAMID ROCK",-0.424025876470417,"F",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"162Y",2004,"SOUTH SEAL ROCK",1.17219021010664,"M",12,12,12,1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"163R",2001,"PYRAMID ROCK",-0.664725127620925,"F",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"163Y",2004,"SOUTH SEAL ROCK",0.120714534028103,"F",12,12,12,12,12,3,4,12,12,12,12,12,12,12,12,12,12,12,12
"164R",2001,"PYRAMID ROCK",-0.119984717122406,"F",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
