"AnimalID","SiteName","Beach","Region","Time","Sex","Age","Behavior","Platform","date","datetime","pup_evidence"
"464R","SEA LION CAVES",NA,"OREGON",1200,"UNK","P",NA,NA,"02/19/2006",2006-02-19 12:00:00,NA
"464R","SEA LION CAVES",NA,"OREGON",1200,"F",NA,NA,NA,"03/06/2006",2006-03-06 12:00:00,NA
"464R","SEA LION CAVES",NA,"OREGON",1200,"UNK","P",NA,NA,"03/15/2006",2006-03-15 12:00:00,NA
"464R","SEA LION CAVES",NA,"OREGON",1200,"F",NA,NA,NA,"03/17/2006",2006-03-17 12:00:00,NA
"464R","SEA LION CAVES",NA,"OREGON",1200,"UNK","P",NA,NA,"03/19/2006",2006-03-19 12:00:00,NA
"464R","SEA LION CAVES",NA,"OREGON",1200,"F",NA,NA,NA,"03/30/2006",2006-03-30 12:00:00,NA
"464R","SEA LION CAVES",NA,"OREGON",1200,"F",NA,NA,NA,"04/07/2006",2006-04-07 12:00:00,NA
"464R","SEA LION CAVES",NA,"OREGON",1200,"UNK","P",NA,NA,"04/08/2006",2006-04-08 12:00:00,NA
"464R","SEA LION CAVES",NA,"OREGON",1200,"UNK","P",NA,NA,"04/09/2006",2006-04-09 12:00:00,NA
"464R","SEA LION CAVES",NA,"OREGON",1200,"F",NA,NA,NA,"04/10/2006",2006-04-10 12:00:00,NA
